fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,reserve_or_transfer,budget_total,expended,carryover_out,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,source
2018,6,農林水産業費,2,林業費,3,林道費,105719000,-21922000,5000000,0,88797000,80909157,,0,6000000,0,1887843,H30決算書p64
2018,6,農林水産業費,2,林業費,4,造林費,41704000,-16091000,0,0,25613000,25391880,,0,0,0,221120,H30決算書p65
2018,7,商工費,1,商工費,1,商工総務費,6323000,-73000,0,0,6250000,6222361,,0,0,0,27639,H30決算書p65
2018,7,商工費,1,商工費,2,商工振興費,8534000,330000,0,301200,9165200,9139773,,0,0,0,25427,H30決算書p66
2018,7,商工費,1,商工費,3,観光費,31513000,-4831000,425661000,-301200,452041800,443105934,,0,0,0,8935866,H30決算書p66
2018,7,商工費,1,商工費,4,地域おこし協力隊事業,11171000,-2232000,0,0,8939000,8897328,,0,0,0,41672,H30決算書p69
2018,8,土木費,1,土木管理費,1,土木総務費,691000,1257000,0,0,1948000,1936392,,0,0,0,11608,H30決算書p70
2018,8,土木費,2,道路橋梁費,1,道路維持費,25855000,-6415000,0,0,19440000,19051303,,0,0,0,388697,H30決算書p71
2018,8,土木費,2,道路橋梁費,2,道路新設改良費,153071000,-18416000,29064000,0,163719000,91224770,,0,69338000,0,3156230,H30決算書p71
2018,8,土木費,2,道路橋梁費,4,橋梁維持費,5189000,-68000,0,0,5121000,5120400,,0,0,0,600,H30決算書p72
2018,8,土木費,3,河川費,1,河川維持費,5706000,13500000,0,0,19206000,7203276,,0,12000000,0,2724,H30決算書p72
2018,8,土木費,4,住宅費,1,住宅管理費,21534000,161000,0,0,21695000,21539372,,0,0,0,155628,H30決算書p72
2018,9,消防費,1,消防費,1,常備消防費,32848000,0,0,0,32848000,32848000,,0,0,0,0,H30決算書p73
2018,9,消防費,1,消防費,2,非常備消防費,17665000,-2218000,0,0,15447000,15172866,,0,0,0,274134,H30決算書p73
2018,9,消防費,1,消防費,3,消防施設費,9966000,661000,0,0,10627000,10564884,,0,0,0,62116,H30決算書p75
2018,9,消防費,1,消防費,4,水防費,50000,-20000,0,0,30000,29980,,0,0,0,20,H30決算書p76
2018,9,消防費,1,消防費,6,災害防止費,659000,-205000,0,0,454000,452552,,0,0,0,1448,H30決算書p76
2018,9,消防費,1,消防費,7,山岳遭難救助費,1744000,-1012000,0,0,732000,717086,,0,0,0,14914,H30決算書p76
2018,10,教育費,1,教育総務費,1,教育委員会費,1093000,0,0,0,1093000,1022780,,0,0,0,70220,H30決算書p77
2018,10,教育費,1,教育総務費,2,事務局費,26801000,839000,0,0,27640000,27282992,,0,0,0,357008,H30決算書p77
2018,10,教育費,1,教育総務費,4,文化財保存費,12393000,347000,0,0,12740000,12101807,,0,0,0,638193,H30決算書p79
2018,10,教育費,1,教育総務費,6,文化施設費,12938000,-2085000,0,0,10853000,10809903,,0,0,0,43097,H30決算書p80
2018,10,教育費,2,小学校費,1,学校管理費,30411000,25929000,0,0,56340000,29868933,,0,25418000,0,1053067,H30決算書p82
2018,10,教育費,2,小学校費,2,教育振興費,2665000,-4000,0,0,2661000,2452100,,0,0,0,208900,H30決算書p85
2018,10,教育費,3,中学校費,1,学校管理費,16212000,16405000,0,0,32617000,14876994,,0,17520000,0,220006,H30決算書p85
2018,10,教育費,3,中学校費,2,教育振興費,1964000,-2000,0,0,1962000,1831107,,0,0,0,130893,H30決算書p87
2018,10,教育費,4,社会教育費,1,社会教育総務費,6184000,-1000,0,0,6183000,6156920,,0,0,0,26080,H30決算書p88
2018,10,教育費,4,社会教育費,2,公民館費,27010000,-1036000,0,0,25974000,25248532,,0,0,0,725468,H30決算書p88
2018,10,教育費,5,保健体育費,1,保健体育総務費,786000,-64000,0,0,722000,710495,,0,0,0,11505,H30決算書p90
2018,10,教育費,5,保健体育費,2,学校給食運営費,9003000,-213000,0,0,8790000,8671250,,0,0,0,118750,H30決算書p90
2018,10,教育費,5,保健体育費,4,体育施設管理費,1227000,1596000,0,0,2823000,2626785,,0,0,0,196215,H30決算書p91
2018,11,災害復旧費,1,農林水産業施設災害復旧費,1,農地農業用施設災害復旧費,0,12170000,0,0,12170000,11692732,,0,0,0,477268,H30決算書p92
2018,11,災害復旧費,1,農林水産業施設災害復旧費,2,林道施設災害復旧費,0,39948000,0,0,39948000,11526304,,0,26675000,0,1746696,H30決算書p93
2018,11,災害復旧費,2,公共土木施設災害復旧費,1,道路橋梁災害復旧費,0,221978000,0,0,221978000,63578121,,0,157804000,0,595879,H30決算書p93
2018,11,災害復旧費,2,公共土木施設災害復旧費,3,河川災害復旧費,0,44887000,0,0,44887000,10990120,,0,34438000,0,-541120,H30決算書p93
2018,12,公債費,1,公債費,1,元金,164306000,2577000,0,0,166883000,166881384,,0,0,0,1616,H30決算書p94
2018,12,公債費,1,公債費,2,利子,14571000,-6770000,0,0,7801000,5465901,,0,0,0,2335099,H30決算書p94
2018,13,諸支出金,1,基金費,1,財政調整基金費,1544000,0,0,0,1544000,1321136,,0,0,0,222864,H30決算書p94
2018,13,諸支出金,1,基金費,2,減債基金費,1500000,0,0,0,1500000,1499503,,0,0,0,497,H30決算書p94
2018,13,諸支出金,1,基金費,3,公共施設等整備基金費,2309000,0,0,0,2309000,2308969,,0,0,0,31,H30決算書p94
2018,13,諸支出金,1,基金費,4,文教施設整備基金費,42000,0,0,0,42000,41867,,0,0,0,133,H30決算書p94
2018,13,諸支出金,1,基金費,5,ふるさとづくり基金費,3728000,2296000,0,0,6024000,5273296,,0,0,0,750704,H30決算書p94
2018,13,諸支出金,1,基金費,6,高齢者福祉基金費,55000,0,0,0,55000,54393,,0,0,0,607,H30決算書p94
2018,13,諸支出金,1,基金費,13,奨学資金貸付基金,0,190000,0,0,190000,190000,,0,0,0,0,H30決算書p94
2018,14,予備費,1,予備費,1,予備費,10000000,0,0,0,10000000,0,,0,0,0,10000000,H30決算書p95
2019,1,議会費,1,議会費,1,議会費,26854000,-176000,0,0,26678000,25935255,,0,0,0,742745,R1決算書p27
2019,2,総務費,1,総務管理費,1,一般管理費,136974000,3119000,0,0,140093000,134338368,,0,0,0,5754632,R1決算書p27
2019,2,総務費,1,総務管理費,2,文書広報費,14224000,-7440000,0,0,6784000,6757210,,0,0,0,26790,R1決算書p30
2019,2,総務費,1,総務管理費,3,財政管理費,7970000,1137000,0,0,9107000,9067172,,0,0,0,39828,R1決算書p31
2019,2,総務費,1,総務管理費,5,財産管理費,16618000,34049000,0,0,50667000,14644868,,0,34100000,0,1922132,R1決算書p31
2019,2,総務費,1,総務管理費,6,企画費,73811000,-6394000,13004000,0,80421000,71824984,,0,0,0,8596016,R1決算書p32
2019,2,総務費,1,総務管理費,8,交通安全対策費,2014000,7798000,0,0,9812000,9597488,,0,0,0,214512,R1決算書p35
2019,2,総務費,1,総務管理費,9,電子計算費,22352000,1968000,0,0,24320000,23960801,,0,0,0,359199,R1決算書p36
2019,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,57682000,-3141000,0,0,54541000,51667115,,0,0,0,2873885,R1決算書p37
2019,2,総務費,2,徴税費,1,税務総務費,22509000,1585000,0,0,24094000,23968180,,0,0,0,125820,R1決算書p38
2019,2,総務費,2,徴税費,2,賦課徴収費,4702000,-3476000,0,0,1226000,1218433,,0,0,0,7567,R1決算書p39
2019,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,15065000,258000,0,0,15323000,15297145,,0,0,0,25855,R1決算書p39
2019,2,総務費,4,選挙費,1,選挙管理委員会費,247000,-86000,0,0,161000,147920,,0,0,0,13080,R1決算書p40
2019,2,総務費,4,選挙費,3,参議院議員選挙費,3572000,0,0,0,3572000,3541393,,0,0,0,30607,R1決算書p40
2019,2,総務費,4,選挙費,6,長野県議会議員選挙費,2144000,-227000,0,0,1917000,1802700,,0,0,0,114300,R1決算書p41
2019,2,総務費,4,選挙費,7,村議会議員選挙費,3734000,-870000,0,0,2864000,2753438,,0,0,0,110562,R1決算書p41
2019,2,総務費,5,統計調査費,2,指定統計調査費,728000,-10000,0,0,718000,685208,,0,0,0,32792,R1決算書p41
2019,2,総務費,6,監査委員費,1,監査委員費,593000,-5000,0,0,588000,575840,,0,0,0,12160,R1決算書p42
2019,2,総務費,7,国土調査費,1,地籍調査費,23835000,10976000,0,0,34811000,21949293,,0,12594000,0,267707,R1決算書p42
2019,3,民生費,1,社会福祉費,1,社会福祉総務費,62813000,-252000,0,0,62561000,57764825,,0,0,0,4796175,R1決算書p43
2019,3,民生費,1,社会福祉費,2,老人福祉費,64080000,-7188000,0,0,56892000,56123962,,0,0,0,768038,R1決算書p46
2019,3,民生費,1,社会福祉費,3,国民年金事務費,2586000,110000,0,0,2696000,2676000,,0,0,0,20000,R1決算書p47
2019,3,民生費,1,社会福祉費,4,障害者福祉費,68211000,212000,0,0,68423000,68177271,,0,0,0,245729,R1決算書p48
2019,3,民生費,1,社会福祉費,7,定住対策費,13401000,-5777000,0,0,7624000,7505900,,0,0,0,118100,R1決算書p48
2019,3,民生費,1,社会福祉費,10,老人福祉施設管理運営費,28678000,2571000,0,0,31249000,31197271,,0,0,0,51729,R1決算書p49
2019,3,民生費,1,社会福祉費,13,在宅介護支援センター運営費,1746000,51000,0,0,1797000,1748564,,0,0,0,48436,R1決算書p49
2019,3,民生費,1,社会福祉費,14,授産施設一般管理費,21100000,362000,0,0,21462000,19827293,,0,0,0,1634707,R1決算書p50
2019,3,民生費,1,社会福祉費,15,授産施設業務費,5558000,364000,0,0,5922000,5918995,,0,0,0,3005,R1決算書p51
2019,3,民生費,2,児童福祉費,1,児童福祉総務費,1380000,-187000,0,0,1193000,1192990,,0,0,0,10,R1決算書p52
2019,3,民生費,2,児童福祉費,2,児童措置費,11568000,608000,0,0,12176000,12107500,,0,0,0,68500,R1決算書p52
2019,3,民生費,2,児童福祉費,5,保育所費,317316000,53252000,8077000,0,378645000,111345059,,0,265797000,0,1502941,R1決算書p53
2019,3,民生費,2,児童福祉費,7,児童クラブ運営費,2579000,104000,0,0,2683000,2682800,,0,0,0,200,R1決算書p54
2019,3,民生費,2,児童福祉費,8,通学合宿事業費,469000,-92000,0,0,377000,355809,,0,0,0,21191,R1決算書p55
2019,4,衛生費,1,保健衛生費,1,保健衛生総務費,121376000,-35232000,0,0,86144000,84681651,,0,0,0,1462349,R1決算書p55
2019,4,衛生費,1,保健衛生費,2,予防費,10877000,-3747000,0,0,7130000,6809405,,0,0,0,320595,R1決算書p57
2019,4,衛生費,1,保健衛生費,3,環境衛生費,11623000,-674000,0,0,10949000,10419170,,0,0,0,529830,R1決算書p58
2019,4,衛生費,2,清掃費,1,し尿処理費,15172000,-348000,0,0,14824000,14823700,,0,0,0,300,R1決算書p60
2019,4,衛生費,2,清掃費,2,塵芥処理費,29421000,180000,0,0,29601000,27865396,,0,0,0,1735604,R1決算書p60
