fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,jigyo_name,setsu_no,setsu_name,level,is_leaf,saisetsu_name,saisaisetsu_name,dan2_name,dan3_name,dan4_name,amount,source
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,10,交際費,2,0,01交際費,,,,,266038,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,10,交際費,3,1,01交際費,01交際費,,,,266038,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,1,0,,,,,,5789039,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,2,0,01消耗品,,,,,1956136,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,01消耗品,01消耗品,,,,1668678,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,01消耗品,02図書購入費,,,,144412,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,01消耗品,03職員被服費,,,,143046,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,2,0,11燃料費,,,,,772752,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,11燃料費,01公用車燃料費,,,,772752,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,2,0,31印刷製本費,,,,,2883227,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,31印刷製本費,02法規追録代,,,,2883227,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,2,0,51修繕費,,,,,176924,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,11,需用費,3,1,51修繕費,02公用車修繕費,,,,176924,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,1,0,,,,,,604768,H30決算書p28
