fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,budget_total,assessed,received,bad_debt,uncollected,source
2021,1,村税,2,固定資産税,1,固定資産税,45031000,-895000,0,44136000,44136008,44067738,0,68270,R3決算書p10
2021,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,88205000,0,0,88205000,88207100,88207100,0,0,R3決算書p10
2021,1,村税,3,軽自動車税,1,軽自動車税,1000,-1000,0,0,0,0,0,0,R3決算書p10
2021,1,村税,3,軽自動車税,2,環境性能割,252000,43000,0,295000,295100,295100,0,0,R3決算書p10
2021,1,村税,3,軽自動車税,3,種別割,4996000,29000,0,5025000,5025000,5025000,0,0,R3決算書p10
2021,1,村税,4,村たばこ税,1,村たばこ税,2436000,-138000,0,2298000,2298258,2298258,0,0,R3決算書p11
2021,1,村税,8,入湯税,1,入湯税,150000,-54000,0,96000,96000,96000,0,0,R3決算書p11
2021,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,6061000,379000,0,6440000,6440000,6440000,0,0,R3決算書p11
2021,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,17899000,518000,0,18417000,18417000,18417000,0,0,R3決算書p11
2021,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,11700000,54000,0,11754000,11754000,11754000,0,0,R3決算書p11
2021,3,利子割交付金,1,利子割交付金,1,利子割交付金,55000,-10000,0,45000,45000,45000,0,0,R3決算書p11
2021,4,配当割交付金,1,配当割交付金,1,配当割交付金,262000,101000,0,363000,363000,363000,0,0,R3決算書p12
2021,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,165000,227000,0,392000,392000,392000,0,0,R3決算書p12
2021,6,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,1500000,1684000,0,3184000,3184000,3184000,0,0,R3決算書p12
2021,7,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,21517000,3895000,0,25412000,25412000,25412000,0,0,R3決算書p12
2021,8,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,1948000,-120000,0,1828000,1828000,1828000,0,0,R3決算書p12
2021,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,879000,3859000,0,4738000,4738000,4738000,0,0,R3決算書p12
2021,10,地方交付税,1,地方交付税,1,地方交付税,1000000000,370096000,0,1370096000,1370096000,1370096000,0,0,R3決算書p13
2021,11,分担金及び負担金,2,負担金,2,民生費負担金,617000,76000,0,693000,693300,693300,0,0,R3決算書p13
2021,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,0,718000,0,718000,0,0,0,0,R3決算書p13
2021,12,使用料及び手数料,1,使用料,2,民生使用料,48000,267000,0,315000,316260,316260,0,0,R3決算書p13
2021,12,使用料及び手数料,1,使用料,3,農林使用料,1196000,1004000,0,2200000,2201440,2201440,0,0,R3決算書p13
2021,12,使用料及び手数料,1,使用料,4,商工使用料,1912000,-367000,0,1545000,2613200,2613200,0,0,R3決算書p14
2021,12,使用料及び手数料,1,使用料,5,土木使用料,15527000,-804000,0,14723000,14723662,14723662,0,0,R3決算書p14
2021,12,使用料及び手数料,1,使用料,7,教育施設使用料,3374000,-939000,0,2435000,2406785,2406785,0,0,R3決算書p14
2021,12,使用料及び手数料,2,手数料,1,総務手数料,774000,41000,0,815000,816600,816600,0,0,R3決算書p14
2021,12,使用料及び手数料,2,手数料,3,衛生費手数料,1473000,-174000,0,1299000,1299100,1299100,0,0,R3決算書p15
2021,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,45965000,9628000,0,55593000,55596048,55596048,0,0,R3決算書p15
2021,13,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,0,4362000,0,4362000,4362347,4362347,0,0,R3決算書p15
2021,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,219203000,18214000,46291000,283708000,115275529,115275529,0,0,R3決算書p15
2021,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,8107000,103912000,31119000,143138000,121834027,121834027,0,0,R3決算書p16
2021,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,16428000,3071000,0,19499000,19499960,19499960,0,0,R3決算書p16
2021,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,497000,8488000,0,8985000,8985800,8985800,0,0,R3決算書p17
2021,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,100384000,706000,71779000,172869000,74699000,74699000,0,0,R3決算書p17
2021,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,25250000,-1957000,0,23293000,16088000,16088000,0,0,R3決算書p17
2021,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,92779000,-637000,0,92142000,92142000,92142000,0,0,R3決算書p17
2021,13,国庫支出金,2,国庫補助金,7,商工費国庫補助金,750000,0,0,750000,0,0,0,0,R3決算書p17
2021,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,6784000,373000,0,7157000,7156761,7156761,0,0,R3決算書p18
2021,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,1256000,0,0,1256000,1256968,1256968,0,0,R3決算書p18
2021,14,県支出金,1,県負担金,1,民生費県負担金,36002000,-3351000,0,32651000,32441164,32441164,0,0,R3決算書p18
2021,14,県支出金,2,県補助金,1,総務費県補助金,16680000,-1425000,0,15255000,15255000,15255000,0,0,R3決算書p19
2021,14,県支出金,2,県補助金,2,民生費県補助金,3603000,239000,0,3842000,3840476,3840476,0,0,R3決算書p19
2021,14,県支出金,2,県補助金,3,衛生費県補助金,985000,-103000,0,882000,882000,882000,0,0,R3決算書p19
2021,14,県支出金,2,県補助金,4,農林水産業費県補助金,10855000,-3493000,0,7362000,7363763,7363763,0,0,R3決算書p20
2021,14,県支出金,2,県補助金,5,土木費県補助金,146000,-98000,0,48000,48250,48250,0,0,R3決算書p20
2021,14,県支出金,2,県補助金,7,商工費県補助金,1631000,3485000,0,5116000,5116000,5116000,0,0,R3決算書p20
2021,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,0,25000,25000,25000,0,0,R3決算書p20
2021,14,県支出金,3,県委託金,1,総務費県委託金,2323000,-21000,0,2302000,2303291,2303291,0,0,R3決算書p20
2021,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,0,1000,820,820,0,0,R3決算書p21
2021,14,県支出金,3,県委託金,3,農林水産業費県委託金,449000,396000,0,845000,845000,845000,0,0,R3決算書p21
2021,15,財産収入,1,財産運用収入,1,財産貸付収入,3502000,143000,0,3645000,3181494,3181494,0,0,R3決算書p21
2021,15,財産収入,1,財産運用収入,2,利子及び配当金,6628000,-1302000,0,5326000,5329278,5329278,0,0,R3決算書p21
2021,15,財産収入,2,財産売払収入,1,不動産売払収入,1680000,-911000,0,769000,770475,770475,0,0,R3決算書p22
2021,15,財産収入,2,財産売払収入,3,生産物売払収入,176000,-19000,0,157000,157680,157680,0,0,R3決算書p22
2021,15,財産収入,2,財産売払収入,4,出資金返還収入,0,50000,0,50000,50000,50000,0,0,R3決算書p22
2021,16,寄付金,1,寄付金,1,寄付金,5450000,548000,0,5998000,5998900,5998900,0,0,R3決算書p22
2021,17,繰入金,1,基金繰入金,1,財政調整基金繰入金,0,0,0,0,0,0,0,0,R3決算書p22
2021,17,繰入金,1,基金繰入金,2,減債基金繰入金,78000000,-78000000,0,0,0,0,0,0,R3決算書p22
2021,17,繰入金,1,基金繰入金,4,文教施設整備基金繰入金,15000000,-15000000,0,0,0,0,0,0,R3決算書p23
2021,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,41450000,-28960000,0,12490000,12490000,12490000,0,0,R3決算書p23
2021,18,繰越金,1,繰越金,1,前年度繰越金,30000000,76768000,41582640,148350640,148351017,148351017,0,0,R3決算書p23
2021,19,諸収入,1,延滞金加算金及び過料,1,延滞金,4000,3000,0,7000,7700,7700,0,0,R3決算書p23
2021,19,諸収入,2,預金利子,1,村預金利子,121000,2000,0,123000,26237,26237,0,0,R3決算書p23
2021,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,-300000,0,0,0,0,0,0,R3決算書p23
2021,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,714000,-15000,0,699000,696200,696200,0,0,R3決算書p24
2021,19,諸収入,4,受託事業収入,2,授産事業受託収入,4693000,-1049000,0,3644000,3643608,3643608,0,0,R3決算書p24
2021,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1042000,-219000,0,823000,823240,823240,0,0,R3決算書p24
2021,19,諸収入,5,雑入,1,雑入,22126000,-422000,2871000,24575000,24307616,24306316,0,1300,R3決算書p24
2021,19,諸収入,5,雑入,4,介護給付費収入,6000000,1531000,0,7531000,7531890,7531890,0,0,R3決算書p26
2021,20,村債,1,村債,1,総務債,292100000,-38774000,51400000,304726000,251026000,251026000,0,0,R3決算書p26
2021,20,村債,1,村債,2,土木債,0,1400000,0,1400000,1400000,1400000,0,0,R3決算書p26
2021,20,村債,1,村債,3,災害復旧債,22900000,-4500000,2600000,21000000,8000000,8000000,0,0,R3決算書p26
2022,1,村税,1,村民税,1,個人村民税,25799000,-429000,0,25370000,25537444,25051788,0,485656,R4決算書p10
2022,1,村税,1,村民税,2,法人村民税,15931000,-639000,0,15292000,15291800,15141800,0,150000,R4決算書p10
2022,1,村税,2,固定資産税,1,固定資産税,43788000,7215000,0,51003000,51004070,50692300,0,311770,R4決算書p10
2022,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,86143000,0,0,86143000,86144000,86144000,0,0,R4決算書p10
2022,1,村税,3,軽自動車税,1,軽自動車税,1000,-1000,0,0,0,0,0,0,R4決算書p10
2022,1,村税,3,軽自動車税,2,環境性能割,230000,266000,0,496000,496300,496300,0,0,R4決算書p10
2022,1,村税,3,軽自動車税,3,種別割,5196000,-194000,0,5002000,5001700,5001700,0,0,R4決算書p10
2022,1,村税,4,村たばこ税,1,村たばこ税,2495000,-116000,0,2379000,2209577,2209577,0,0,R4決算書p11
2022,1,村税,8,入湯税,1,入湯税,96000,0,0,96000,96000,96000,0,0,R4決算書p11
2022,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,6210000,-68000,0,6142000,6142000,6142000,0,0,R4決算書p11
2022,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,18511000,-123000,0,18388000,18388000,18388000,0,0,R4決算書p11
2022,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,15200000,-576000,0,14624000,14624000,14624000,0,0,R4決算書p11
2022,3,利子割交付金,1,利子割交付金,1,利子割交付金,53000,-28000,0,25000,25000,25000,0,0,R4決算書p11
2022,4,配当割交付金,1,配当割交付金,1,配当割交付金,254000,59000,0,313000,313000,313000,0,0,R4決算書p12
2022,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,223000,2000,0,225000,225000,225000,0,0,R4決算書p12
2022,6,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,2148000,951000,0,3099000,3099000,3099000,0,0,R4決算書p12
2022,7,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,22961000,3773000,0,26734000,26734000,26734000,0,0,R4決算書p12
2022,8,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,1625000,132000,0,1757000,1757000,1757000,0,0,R4決算書p12
2022,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,693000,-590000,0,103000,103000,103000,0,0,R4決算書p12
2022,10,地方交付税,1,地方交付税,1,地方交付税,1020000000,326473000,0,1346473000,1346473000,1346473000,0,0,R4決算書p13
2022,11,分担金及び負担金,2,負担金,2,民生費負担金,705000,-45000,0,660000,660900,660900,0,0,R4決算書p13
2022,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,0,0,718200,718200,261774,261774,0,0,R4決算書p13
2022,12,使用料及び手数料,1,使用料,2,民生使用料,118000,308000,0,426000,426500,426500,0,0,R4決算書p13
2022,12,使用料及び手数料,1,使用料,3,農林使用料,1273000,-288000,0,985000,984964,984964,0,0,R4決算書p13
2022,12,使用料及び手数料,1,使用料,4,商工使用料,1569000,14000,0,1583000,1583800,1583800,0,0,R4決算書p14
2022,12,使用料及び手数料,1,使用料,5,土木使用料,15216000,-144000,0,15072000,15072897,15072897,0,0,R4決算書p14
2022,12,使用料及び手数料,1,使用料,7,教育施設使用料,3487000,-533000,0,2954000,2955975,2955975,0,0,R4決算書p14
2022,12,使用料及び手数料,2,手数料,1,総務手数料,739000,199000,0,938000,938850,938850,0,0,R4決算書p14
2022,12,使用料及び手数料,2,手数料,3,衛生費手数料,1450000,-227000,0,1223000,1223250,1223250,0,0,R4決算書p15
2022,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,45384000,-1669000,0,43715000,43707809,43707809,0,0,R4決算書p15
2022,13,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,910000,2554000,0,3464000,3464802,3464802,0,0,R4決算書p15
2022,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,50589000,211739000,150600000,412928000,82110191,82110191,0,0,R4決算書p15
2022,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,4879000,43780000,8306000,56965000,52160008,52160008,0,0,R4決算書p16
2022,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,2477000,-647000,0,1830000,1887636,1887636,0,0,R4決算書p16
2022,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,1555000,393000,0,1948000,1948754,1948754,0,0,R4決算書p16
2022,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,60238000,-10285000,79795000,129748000,118585000,118585000,0,0,R4決算書p17
2022,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,31590000,-2982000,6545000,35153000,35425000,35425000,0,0,R4決算書p17
2022,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,632000,4486000,0,5118000,5118000,5118000,0,0,R4決算書p17
2022,13,国庫支出金,2,国庫補助金,7,商工費国庫補助金,750000,-750000,0,0,0,0,0,0,R4決算書p17
2022,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,3183000,-97000,0,3086000,4213277,4213277,0,0,R4決算書p18
2022,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,1363000,-21000,0,1342000,1342691,1342691,0,0,R4決算書p18
2022,14,県支出金,1,県負担金,1,民生費県負担金,36168000,-5003000,0,31165000,31139517,31139517,0,0,R4決算書p18
2022,14,県支出金,2,県補助金,1,総務費県補助金,12471000,2115000,0,14586000,14415000,14415000,0,0,R4決算書p18
2022,14,県支出金,2,県補助金,2,民生費県補助金,4010000,242000,0,4252000,4263817,4263817,0,0,R4決算書p19
2022,14,県支出金,2,県補助金,3,衛生費県補助金,972000,-18000,0,954000,954000,954000,0,0,R4決算書p19
2022,14,県支出金,2,県補助金,4,農林水産業費県補助金,15685000,-8856000,0,6829000,6830858,6830858,0,0,R4決算書p19
2022,14,県支出金,2,県補助金,5,土木費県補助金,146000,-98000,0,48000,48250,48250,0,0,R4決算書p20
2022,14,県支出金,2,県補助金,7,商工費県補助金,1650000,4550000,0,6200000,6200000,6200000,0,0,R4決算書p20
2022,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,0,25000,25000,25000,0,0,R4決算書p20
2022,14,県支出金,3,県委託金,1,総務費県委託金,5035000,975000,0,6010000,6011773,6011773,0,0,R4決算書p20
2022,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,0,1000,1230,1230,0,0,R4決算書p21
2022,14,県支出金,3,県委託金,3,農林水産業費県委託金,845000,1000,0,846000,846000,846000,0,0,R4決算書p21
2022,15,財産収入,1,財産運用収入,1,財産貸付収入,3472000,497000,0,3969000,3971261,3911261,0,60000,R4決算書p21
2022,15,財産収入,1,財産運用収入,2,利子及び配当金,5870000,-2070000,0,3800000,3801999,3801999,0,0,R4決算書p21
2022,15,財産収入,2,財産売払収入,1,不動産売払収入,1520000,381000,0,1901000,1841299,1841299,0,0,R4決算書p22
2022,15,財産収入,2,財産売払収入,3,生産物売払収入,176000,-91000,0,85000,85000,85000,0,0,R4決算書p22
2022,16,寄付金,1,寄付金,1,寄付金,8700000,-4961000,0,3739000,3739000,3739000,0,0,R4決算書p22
2022,17,繰入金,1,基金繰入金,2,減債基金繰入金,122000000,-122000000,0,0,0,0,0,0,R4決算書p22
2022,17,繰入金,1,基金繰入金,3,公共施設等整備基金繰入金,14000000,-14000000,0,0,0,0,0,0,R4決算書p22
2022,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,2270000,500000,0,2770000,2770000,2770000,0,0,R4決算書p23
2022,18,繰越金,1,繰越金,1,前年度繰越金,30000000,55396000,0,85396000,153654408,153654408,0,0,R4決算書p23
2022,19,諸収入,1,延滞金加算金及び過料,1,延滞金,4000,18000,0,22000,22400,22400,0,0,R4決算書p23
2022,19,諸収入,2,預金利子,1,村預金利子,121000,-115000,0,6000,5394,5394,0,0,R4決算書p23
2022,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,-300000,0,0,0,0,0,0,R4決算書p23
2022,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,2219000,-1989000,0,230000,230800,230800,0,0,R4決算書p23
2022,19,諸収入,4,受託事業収入,2,授産事業受託収入,4547000,-579000,0,3968000,3968985,3968985,0,0,R4決算書p24
2022,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1042000,-222000,0,820000,820160,820160,0,0,R4決算書p24
2022,19,諸収入,5,雑入,1,雑入,23047000,9583000,0,32630000,21408455,21408455,0,0,R4決算書p24
2022,19,諸収入,5,雑入,4,介護給付費収入,6540000,216000,0,6756000,6756540,6756540,0,0,R4決算書p26
2022,20,村債,1,村債,1,総務債,170300000,-27000000,51400000,194700000,169200000,169200000,0,0,R4決算書p26
2022,20,村債,1,村債,2,土木債,2800000,-2800000,0,0,0,0,0,0,R4決算書p26
2022,20,村債,1,村債,3,災害復旧債,8400000,2900000,13000000,24300000,19100000,19100000,0,0,R4決算書p26
2023,1,村税,1,村民税,1,個人村民税,25237000,2196000,,27433000,27433811,27206925,,226886,R5決算書p7
2023,1,村税,1,村民税,2,法人村民税,14990000,-55000,,14935000,14936700,14895700,,41000,R5決算書p7
2023,1,村税,2,固定資産税,1,固定資産税,49590000,318000,,49908000,49909070,49748700,,160370,R5決算書p7
2023,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,83877000,0,,83877000,83878600,83878600,,0,R5決算書p7
2023,1,村税,3,軽自動車税,2,環境性能割,332000,80000,,412000,412300,412300,,0,R5決算書p7
2023,1,村税,3,軽自動車税,3,種別割,5147000,-104000,,5043000,5043400,5017000,,26400,R5決算書p7
2023,1,村税,4,村たばこ税,1,村たばこ税,2253000,270000,,2523000,2523496,2523496,,0,R5決算書p7
2023,1,村税,8,入湯税,1,入湯税,96000,0,,96000,96000,96000,,0,R5決算書p7
2023,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,6610000,-427000,,6183000,6183000,6183000,,0,R5決算書p8
2023,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,18093000,551000,,18644000,18644000,18644000,,0,R5決算書p8
2023,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,15200000,-576000,,14624000,14624000,14624000,,0,R5決算書p8
2023,3,利子割交付金,1,利子割交付金,1,利子割交付金,35000,-16000,,19000,19000,19000,,0,R5決算書p8
2023,4,配当割交付金,1,配当割交付金,1,配当割交付金,395000,-17000,,378000,378000,378000,,0,R5決算書p8
2023,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,342000,34000,,376000,376000,376000,,0,R5決算書p8
2023,6,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,3359000,-1109000,,2250000,2250000,2250000,,0,R5決算書p8
2023,7,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,25936000,558000,,26494000,26494000,26494000,,0,R5決算書p8
2023,8,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,1879000,337000,,2216000,2216000,2216000,,0,R5決算書p9
2023,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,103000,8000,,111000,111000,111000,,0,R5決算書p9
2023,10,地方交付税,1,地方交付税,1,地方交付税,1020000000,333823000,,1353823000,1353823000,1353823000,,0,R5決算書p9
2023,11,分担金及び負担金,2,負担金,2,民生費負担金,672000,-20000,,652000,701400,701400,,0,R5決算書p9
2023,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,0,121000,,121000,118425,118425,,0,R5決算書p9
2023,12,使用料及び手数料,1,使用料,2,民生使用料,118000,87000,,205000,206700,205100,,1600,R5決算書p9
2023,12,使用料及び手数料,1,使用料,3,農林使用料,1049000,62000,,1111000,1111663,1111663,,0,R5決算書p9
2023,12,使用料及び手数料,1,使用料,4,商工使用料,1673000,-17000,,1656000,1656400,1656400,,0,R5決算書p10
2023,12,使用料及び手数料,1,使用料,5,土木使用料,14992000,179000,,15171000,15171779,15171779,,0,R5決算書p10
2023,12,使用料及び手数料,1,使用料,7,教育施設使用料,3501000,-853000,,2648000,2650503,2650503,,0,R5決算書p10
2023,12,使用料及び手数料,2,手数料,1,総務手数料,832000,-37000,,795000,798350,798350,,0,R5決算書p10
2023,12,使用料及び手数料,2,手数料,3,衛生費手数料,1463000,-435000,,1028000,1100750,1100750,,0,R5決算書p10
2023,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,45403000,-2503000,,42900000,43061265,43061265,,0,R5決算書p10
2023,13,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,1821000,-130000,,1691000,1691811,1691811,,0,R5決算書p11
2023,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,0,4690000,329965000,334655000,285520000,285520000,,0,R5決算書p11
2023,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,4683000,40277000,,44960000,37009944,37009944,,0,R5決算書p11
2023,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,767000,160000,,927000,927000,927000,,0,R5決算書p11
2023,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,1560000,536000,,2096000,2096000,2096000,,0,R5決算書p11
2023,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,88380000,-12152000,28322712,104550712,102109000,102109000,,0,R5決算書p12
2023,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,12415000,-1336000,,11079000,11079000,11079000,,0,R5決算書p12
2023,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,1132000,1874000,,3006000,1450000,1450000,,0,R5決算書p12
2023,13,国庫支出金,2,国庫補助金,7,商工費国庫補助金,1500000,-1500000,,0,0,0,,0,R5決算書p12
2023,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,173000,3000,,176000,176000,176000,,0,R5決算書p12
2023,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,1256000,-547000,,709000,709582,709582,,0,R5決算書p12
2023,14,県支出金,1,県負担金,1,民生費県負担金,35223000,-4079000,,31144000,30684151,30684151,,0,R5決算書p12
2023,14,県支出金,2,県補助金,1,総務費県補助金,10733000,-266000,,10467000,10467000,10467000,,0,R5決算書p13
2023,14,県支出金,2,県補助金,2,民生費県補助金,4288000,672000,,4960000,5430000,5430000,,0,R5決算書p13
2023,14,県支出金,2,県補助金,3,衛生費県補助金,1577000,51000,,1628000,1628000,1628000,,0,R5決算書p13
2023,14,県支出金,2,県補助金,4,農林水産業費県補助金,8295000,-1239000,,7056000,6781974,6781974,,0,R5決算書p14
2023,14,県支出金,2,県補助金,5,土木費県補助金,146000,-49000,,97000,97500,97500,,0,R5決算書p14
2023,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,,25000,25000,25000,,0,R5決算書p14
2023,14,県支出金,2,県補助金,10,消防費県補助金,1470000,693000,,2163000,2163000,2163000,,0,R5決算書p14
2023,14,県支出金,3,県委託金,1,総務費県委託金,2716000,914000,,3630000,3631806,3631806,,0,R5決算書p14
2023,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,,1000,1230,1230,,0,R5決算書p14
2023,14,県支出金,3,県委託金,3,農林水産業費県委託金,845000,1000,,846000,846000,846000,,0,R5決算書p15
2023,15,財産収入,1,財産運用収入,1,財産貸付収入,3901000,77000,,3978000,3936908,3936908,,0,R5決算書p15
2023,15,財産収入,1,財産運用収入,2,利子及び配当金,2792000,246000,,3038000,3041505,3041505,,0,R5決算書p15
2023,15,財産収入,2,財産売払収入,1,不動産売払収入,697000,0,,697000,352050,352050,,0,R5決算書p15
2023,15,財産収入,2,財産売払収入,3,生産物売払収入,176000,0,,176000,2920,2920,,0,R5決算書p15
2023,16,寄付金,1,寄付金,1,寄付金,7100000,2520000,,9620000,9620000,9620000,,0,R5決算書p15
2023,17,繰入金,1,基金繰入金,2,減債基金繰入金,131959000,-131959000,,0,0,0,,0,R5決算書p15
2023,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1590000,0,,1590000,1590000,1590000,,0,R5決算書p15
2023,17,繰入金,1,基金繰入金,11,森林環境譲与税基金繰入金,411000,-411000,,0,0,0,,0,R5決算書p16
2023,18,繰越金,1,繰越金,1,前年度繰越金,30000000,91500000,,121500000,131500456,131500456,,0,R5決算書p16
2023,19,諸収入,1,延滞金加算金及び過料,1,延滞金,7000,-5000,,2000,2300,2300,,0,R5決算書p16
2023,19,諸収入,2,預金利子,1,村預金利子,101000,-96000,,5000,4730,4730,,0,R5決算書p16
2023,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,0,,300000,0,0,,0,R5決算書p16
2023,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,1220000,-268000,,952000,952900,952900,,0,R5決算書p16
2023,19,諸収入,4,受託事業収入,2,授産事業受託収入,5501000,-108000,,5393000,5393585,5393585,,0,R5決算書p16
2023,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1003000,-177000,,826000,826240,826240,,0,R5決算書p16
2023,19,諸収入,5,雑入,1,雑入,22647000,41265000,1451136,65363136,64616181,64616181,,0,R5決算書p17
2023,19,諸収入,5,雑入,4,介護給付費収入,6912000,0,,6912000,6924560,6924560,,0,R5決算書p17
2023,20,村債,1,村債,1,総務債,408500000,20100000,13700000,442300000,275500000,275500000,,0,R5決算書p17
2023,20,村債,1,村債,2,土木債,4000000,-4000000,,0,0,0,,0,R5決算書p17
2023,20,村債,1,村債,3,災害復旧債,0,0,3300000,3300000,400000,400000,,0,R5決算書p17
2024,1,村税,1,村民税,1,個人村民税,26913000,418000,,27331000,27285697,27035545,,250152,R6決算書p7
2024,1,村税,1,村民税,2,法人村民税,14933000,7359000,,22292000,22292600,22242600,,50000,R6決算書p7
2024,1,村税,2,固定資産税,1,固定資産税,48028000,4636000,,52664000,52664670,52272000,,392670,R6決算書p7
2024,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,80702000,0,,80702000,80703000,80703000,,0,R6決算書p7
2024,1,村税,3,軽自動車税,2,環境性能割,500000,-104000,,396000,396600,396600,,0,R6決算書p7
2024,1,村税,3,軽自動車税,3,種別割,5251000,-149000,,5102000,5103000,5075300,,27700,R6決算書p7
2024,1,村税,4,村たばこ税,1,村たばこ税,2542000,-8000,,2534000,2534810,2534810,,0,R6決算書p7
2024,1,村税,8,入湯税,1,入湯税,96000,0,,96000,96000,96000,,0,R6決算書p7
2024,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,6165000,-81000,,6084000,6084000,6084000,,0,R6決算書p8
2024,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,18735000,-113000,,18622000,18622000,18622000,,0,R6決算書p8
2024,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,20769000,-392000,,20377000,20377000,20377000,,0,R6決算書p8
2024,3,利子割交付金,1,利子割交付金,1,利子割交付金,21000,6000,,27000,27000,27000,,0,R6決算書p8
